id;question;options;correctAnswer;Category
34;What helps diagnose and resolve a simple incident?;['Rapid escalation', 'Formation of a temporary team', 'The use of scripts', 'Problem prioritization'];The use of scripts;problem/incident/emergency
35;Which ITIL practice has a purpose that includes reducing the likelihood of incidents?;['Change control', 'Continual improvement', 'Problem management', 'Service desk'];Problem management;problem/incident/emergency
36;Which service level metrics are BEST for measuring user experience?;['Single system-based metrics', 'Metrics for the percentage of uptime of a service', 'Operational metrics', 'Metrics linked to defined outcomes'];Metrics linked to defined outcomes;service
37;What are the MOST important skills required by service desk staff?;['Incident analysis skills', 'Technical skills', 'Problem resolution skills', 'Supplier management skills'];Incident analysis skills;service desk
38;Which TWO statements about an organization's culture are CORRECT? (Choose two.)<br>1. It is created from shared values based on how it carries out its work<br>2. It is determined by the type of technology used to support services<br>3. It should be based on the culture of prospective suppliers<br>4. It should be based on the objectives of the organization;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 4;service
39;When should a change request be submitted to resolve a problem?;['As soon as a solution for the problem has been identified', 'As soon as a workaround for the problem has been identified', 'As soon as the analysis of the frequency and impact of incidents justifies the change', 'As soon as the analysis of cost, risks and benefits justifies the change'];As soon as the analysis of cost, risks and benefits justifies the change;problem/incident/emergency
40;Which guiding principle helps to ensure that better information is available for decision making?;['Keep it simple and practical', 'Collaborate and promote visibility', 'Optimize and automate', 'Think and work holistically'];Collaborate and promote visibility;guiding principle
41;Which practice has a purpose that includes observing a service to report selected changes of state identified as events?;['Incident management', 'Monitoring and event management', 'Change control', 'Information security management'];Information security management;management
42;Which describes a standard change?;['A high-risk change that needs very thorough assessment', 'A change that is typically implemented as a service request', 'A change that must be implemented as soon as possible', 'A change that needs to be scheduled, assessed and authorized following a defined process'];A change that is typically implemented as a service request;chenge
43;How does information about problems and known errors contribute to 'incident management'?;['It enables the reassessment of known erros', 'It enables quick and efficient diagnosis of incidents', 'It removes the need for collaboration during incident resolution', 'It removes the need for regular customer updates'];It enables quick and efficient diagnosis of incidents;problem/incident/emergency
44;Which practice owns and manages issues, queries and requests from users?;['Service desk', 'Problem management', 'Incident management', 'Change control'];Service desk;service desk
45;What defines the requirements for a service and takes responsibility for the outcomes of service consumption?;['A customer', 'A user', 'A configuration item (CI)', 'An IT asset'];A customer;service
46;Which stakeholders co-create value in a service relationship?;['Investor and consumer', 'Investor and supplier', 'Consumer and provider', 'Provider and supplier'];Consumer and provider;service
47;Which describes normal changes?;['Changes that need to be scheduled and assessed following a process', 'Changes that are low-risk and pre-authorized', 'Changes that are typically initiated as service requests', 'Changes that must be implemented as soon as possible'];Changes that need to be scheduled and assessed following a process;chenge
48;What is the expected outcome from using a service value chain?;['Service value streams', 'Value realization', 'Customer engagement', 'The application of practices'];Value realization;value chain
49;Which statement about outcomes is CORRECT?;['Outcomes help service consumers achieve outputs', 'Outcomes are one or more services that fulfil the needs of a service consumer', 'Service providers help service consumers achieve outcomes', 'Helping service consumers achieve outcomes reduces service provider costs'];Service providers help service consumers achieve outcomes;service
50;Which skill is an essential part of the 'service level management' practice?;['Problem analysis', 'Technical knowledge', 'Listening', 'Diagnosis'];Listening;management
51;What are the three phases of 'problem management'?;['Problem identification, problem control, error control', 'Problem analysis, error identification, incident resolution', 'Problem logging, problem classification, problem resolution', 'Incident management, problem management, change control'];Problem identification, problem control, error control;problem/incident/emergency
52;Which is a purpose of the 'engage' value chain activity?;"['Meeting expectations for quality, costs and time-to-market', 'Ensuring the continual improvement of services', ""Ensuring that the organization's vision is understood"", 'Providing transparency and good relationships']";Providing transparency and good relationships;value chain
53;Identify the missing word in the following sentence.<br>The purpose of the service configuration management practice is to ensure that accurate and reliable information about the configuration of services, and the [?] that support them, is available when and where it is needed.;['suppliers', 'assets', 'customers', 'CIs'];CIs;management
54;What is described by the service value system?;['How to apply the systems approach of the guiding principle think and work holistically', 'Services based on one or more products, designed to address needs of a target consumer group', 'How all the components and activities of the organization work together as a system to enable value creation', 'Joint activities performed by a service provider and a service consumer to ensure continual value co-creation'];How all the components and activities of the organization work together as a system to enable value creation;value chain
55;What is defined as any component that needs to be managed in order to deliver an IT service?;['A service request', 'An IT asset', 'A configuration item (CI)', 'An incident'];A configuration item (CI);service
56;Which guiding principle recommends using the minimum number of steps necessary to achieve an objective?;['Progress iteratively with feedback', 'Think and work holistically', 'Keep it simple and practical', 'Focus on value'];Keep it simple and practical;guiding principle
57;Which TWO statements about the 'service request management' practice are CORRECT?<br>1. Service requests are part of normal service delivery<br>2. Complaints can be handled as service requests<br>3. Service requests result from a failure in service<br>4. Normal changes should be handled as service requests;['3 and 4', '2 and 3', '1 and 4', '1 and 2'];1 and 2;management
58;What is an IT asset?;['The removal of anything that could have a direct or indirect effect on services', 'Any component that needs to be managed in order to deliver a service', 'A request from a user that initiates a service action', 'Any financially valuable component that can contribute to delivery of an IT product or service'];Any financially valuable component that can contribute to delivery of an IT product or service;service
59;Which dimension includes a workflow management system?;['Value streams and processes', 'Partners and suppliers', 'Information and technology', 'Organizations and people'];Value streams and processes;value chain
60;Identify the missing word in the following sentence.<br>A service is a means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific [?] and risks.;['information', 'utility', 'warranty', 'costs'];costs;service
61;Which of these should be logged and managed as a problem?;"['Trend analysis shows a large number of similar incidents', 'A user requests delivery of a laptop', 'A monitoring tool detects a change of state for a service', ""'Continual improvement' needs to prioritize an improvement opportunity""]";Trend analysis shows a large number of similar incidents;problem/incident/emergency
62;In which TWO situations should the ITIL guiding principles be considered?<br>1. In every initiative<br>2. In relationships with all stakeholders<br>3. Only in specific initiatives where the principle is relevant<br>4. Only in specific stakeholder relationships where the principle is relevant;['1 and 2', '1 and 4', '2 and 3', '3 and 4'];1 and 2;guiding principle
63;Which guiding principle recommends coordinating all dimensions of service management?;['Start where you are', 'Think and work holistically', 'Keep it simple and practical', 'Progress iteratively with feedback'];Think and work holistically;management
64;What is the purpose of the 'relationship management' practice?;"['To support the agreed quality of a service handling all agreed, userinitiated service requests', 'To set clear business-based targets for service performance', 'To establish and nurture the links between the organization and its stakeholders', ""To align the organization's practices and services with changing business needs""]";To establish and nurture the links between the organization and its stakeholders;management
65;How should the workflow for a new service request be designed?;['Use a single workflow for all types of service request', 'Leverage existing workflows whenever possible', 'Use different workflows for each type of service request', 'Avoid workflows for simple service requests'];Leverage existing workflows whenever possible;service
66;What is the purpose of the 'information security management1 practice?;['To ensure that accurate and reliable information about the configuration of services is available when and where it is needed', 'To observe services and service components', 'To protect the information needed by the organization to conduct its business', 'To plan and manage the full lifecycle of all IT assets'];To protect the information needed by the organization to conduct its business;management
67;Identify the missing word in the following sentence.<br>The use of [?] should support, not replace what is observed, when using the 'start where you are1 guiding principle.;['plans', 'measurement', 'process', 'tools'];measurement;guiding principle
68;How should automation be implemented?;['By initially concentrating on the most complex tasks', 'By optimizing as much as possible first', 'By replacing human intervention wherever possible', 'By replacing the existing tools first'];By replacing human intervention wherever possible;guiding principle
69;Which activity is part of the 'continual improvement' practice?;['Populating and maintaining the asset register', 'Providing a clear path for users to report issues, queries, and requests', 'Delivering tactical and operational engagement with customers', 'Identifying and logging opportunities'];Identifying and logging opportunities;guiding principle
70;Which competencies are required by the 'service level management' practice?;['Problem investigation and resolution', 'Incident analysis and prioritization', 'Business analysis and commercial management', 'Balanced scorecard reviews and maturity assessment'];Business analysis and commercial management;management
71;Which practice uses techniques such as SWOT analysis, balanced scorecard reviews, and maturity assessments?;['Incident management', 'Continual improvement', 'Service request management', 'Problem management'];Continual improvement;guiding principle
72;Which statement about costs is CORRECT?;['Costs removed from the consumer are part of service consumption', 'Costs imposed on the consumer are costs of service utility', 'Costs removed from the consumer are part of the value proposition', 'Costs imposed on the consumer are costs of service warranty'];Costs removed from the consumer are part of the value proposition;value chain
73;What is typically needed to assign complex incidents to support groups?;['The incident priority', 'The incident category', 'A change schedule', 'A self-help tool'];The incident category;problem/incident/emergency
74;Which practice has a purpose that includes aligning the organization's practices and services with changing business needs?;['Relationship management', 'Continual improvement', 'Service configuration management', 'Service level management'];Continual improvement;service
75;A major incident has been closed, but there is a risk that it might happen again. How should this be logged and managed?;['As an event', 'As a problem', 'As a service request', 'As a change request'];As a problem;problem/incident/emergency
76;What should be done to determine the appropriate metrics for measuring a new service?;['Measuring the performance over the first six months, and basing a solution on the results', 'Asking customers to provide numerical targets that meet their needs', 'Using operational data to provide detailed service reports', 'Asking customers open questions to establish their requirements'];Using operational data to provide detailed service reports;service
77;Which dimension includes activities and workflows?;['Value streams and processes', 'Partners and suppliers', 'Information and technology', 'Organizations and people'];Value streams and processes;value chain
78;What should be used to set user expectations for request fulfilment times?;['The consumer demand for the service', 'The time that the customer indicates for service delivery', 'The service levels of the supplier', 'The time needed to realistically deliver the service'];The time needed to realistically deliver the service;service
79;Which describes outcomes?;"['Tangible or intangible deliverables', 'Results desired by a stakeholder', ""Configuration of an organization's resources"", 'Functionality offered by a product or service']";Results desired by a stakeholder;service
80;How should an organization adopt continual improvement methods?;['Use a new method for each improvement the organization handles', 'Select a few key methods for the types of improvement that the organization handles', 'Build the capability to use as many improvement methods as possible', 'Select a single method for all improvements that the organization handles'];Select a few key methods for the types of improvement that the organization handles;guiding principle
81;Which is a key consideration for the guiding principle 'keep it simple and practical'?;['Try to create a solution for every exception', 'Start with a complex solution, then simplify', 'Understand how each element contributes to value creation', 'Ignore the conflicting objectives of different stakeholders'];Understand how each element contributes to value creation;guiding principle
82;Arrange the following steps of software lifecycle in correct order.<br>Retire<br>Test<br>Operate<br>Deploy<br>Ideation<br>Develop<br>Design;['Ideation, Design, Develop, Deploy, Test, Operate, Retire', 'Retire, Test, Operate, Deploy, Ideation, Develop, Design', 'None of the above', 'Ideation, Test, Develop, Deploy, Design, Operate, Retire'];Ideation, Design, Develop, Deploy, Test, Operate, Retire;service
83;Which practice provides a single point of contact for users?;['Incident management', 'Change control', 'Service desk', 'Service request management'];Service desk;service desk
84;What should be done for every problem?;['It should have a workaround to reduce the impact', 'It should be prioritized based on its potential impact and probability', 'It should be resolved so that it can be closed', 'It should be diagnosed to identify possible solutions'];It should be prioritized based on its potential impact and probability;problem/incident/emergency
85;What type of change is MOST likely to be managed by the 'service request management' practice?;['An emergency change', 'A normal change', 'An application change', 'A standard change'];A standard change;management
86;What are the types of asset management?;['IT asset management and software asset management', 'Operational and technical management', 'IT asset management and technical management', 'Operational management and IT asset management'];IT asset management and software asset management;management
87;What should all 'continual improvement' decisions be based on?;['Accurate and carefully analysed data', 'Details of how services are measured', 'A recent maturity assessment', 'An up-to-date balanced scorecard'];Accurate and carefully analysed data;guiding principle
88;Which practice identifies metrics that reflect a customer experience of a service?;['Continual improvement', 'Service level management', 'Service desk', 'Problem management'];Service level management;management
89;Which of the following can be used to access service desks?;['Phone calls', 'All of the above', 'Text and social media messaging', 'Email'];All of the above;service desk
90;What is the starting point for optimization?;['Standardizing practices and services', 'Determining where the most positive impact would be', 'Securing stakeholder engagement', 'Understanding the vision and objectives of the organization'];Understanding the vision and objectives of the organization;guiding principle
91;Which is the purpose of the 'monitoring and event management' practice?;['To ensure that accurate and reliable information about the configuration of services is available when and where it is needed', 'To systematically observe services and service components, and record and report selected changes of state', 'To protect the information needed by the organization to conduct its business', 'To minimize the negative impact of incidents by restoring normal service operation as quickly as possible'];To systematically observe services and service components, and record and report selected changes of state;management
92;Which of the following is an example of incident?;['A backup server is being rebooted while services are running on the primary server', 'An application is not available during the business hours', 'A user has requested access to a shared repository', 'A user wants to reset the password of a server'];An application is not available during the business hours;problem/incident/emergency
93;Identify the missing word in the following sentence.<br>A known error is a problem that has been [?] and has not been resolved.;['closed', 'logged', 'analysed', 'escalated'];analysed;problem/incident/emergency
94;Which is NOT a key focus of the 'information and technology' dimension?;['Workflow management and inventory systems', 'Communication systems and knowledge bases', 'Roles and responsibilities', 'Security and compliance'];Roles and responsibilities;service
95;What is an output?;['A possible event that could cause harm or loss', 'Something created by carrying out an activity', 'A result for a stakeholder', 'A change of state that has significance for the management of a configuration item'];Something created by carrying out an activity;service
96;Which is a purpose of the 'service desk' practice?;['To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents', 'To capture demand for incident resolution and service requests', 'To set clear business-based targets for service performance', 'To maximize the number of successful IT changes by ensuring risks are properly assessed'];To capture demand for incident resolution and service requests;service desk
97;Which activity captures the demand for incident resolution and service requests?;['Change control', 'Problem management', 'Service desk', 'Service catalogue management'];Service desk;service desk
98;Which practices are typically involved in the implementation of a problem resolution?<br>1. Continual improvement<br>2. Service request management<br>3. Service level management<br>4. Change control;['1 and 2', '1 and 4', '3 and 4', '2 and 3'];1 and 4;problem/incident/emergency
99;Which value chain activity ensures the availability of service components?;['Improve', 'Deliver and support', 'Engage', 'Obtain/build'];Obtain/build;value chain
100;What should be done first when applying the 'focus on value' guiding principle?;['Identify all suppliers and partners involved in the service', 'Determine the cost of providing the service', 'Identify the outcomes that the service facilitates', 'Determine who the service consumer is in each situation'];Determine who the service consumer is in each situation;guiding principle
101;Which practice has a purpose that includes restoring normal service operation as quickly as possible?;['Problem management', 'Incident management', 'Deployment management', 'Supplier management'];Incident management;problem/incident/emergency
102;What happens if a workaround becomes the permanent way of dealing with a problem that cannot be resolved cost-effectively?;['The problem record is deleted', 'The problem remains in the known error status', 'A change request is submitted to change control', 'Problem management restores the service as soon as possible'];The problem remains in the known error status;problem/incident/emergency
103;What is the purpose of service level management?;['To obtain/build activity that ensures the service components are available when and where they are needed and meet agreed specifications.', 'To ensure that all current and planned IT services are delivered to agreed achievable targets.', 'To establish and nurture the links between the organization and its stakeholders at strategic and tactical levels.', 'To track and manage improvement ideas from identification to final action, organizations use a database or structured document called a continual improvement register (CIR).'];To ensure that all current and planned IT services are delivered to agreed achievable targets.;management
104;Which is intended to help an organization adopt and adapt ITIL guidance?;['The four dimensions of service', 'Practices', 'The service value chain', 'The guiding principles'];The guiding principles;guiding principle
105;What is an event?;['The addition, modification, or removal of anything that could have a direct or indirect effect on services', 'Any change of state that has significance for the management of a service or other configuration item', 'Cause of one or more incidents', 'An unplanned interruption to a service or reduction in the quality of a service'];Any change of state that has significance for the management of a service or other configuration item;management
106;Which practice is the responsibility of everyone in the organization?;['Change control', 'Problem management', 'Service level management', 'Continual improvement'];Continual improvement;guiding principle
107;Which of the following is an example of workaround?;['A defective network switch is replaced with a new one', 'An email server is restored after an incident is reported', 'Server memory is increased when the server is unresponsive', 'A server is restarted to resolve an incident'];A server is restarted to resolve an incident;problem/incident/emergency
108;How does categorization of incidents assist the 'incident management' practice?;['It determines the priority assigned to the incident', 'It determines how the service provider is perceived', 'It helps direct the incident to the correct support area', 'It ensures that incidents are resolved in timescales agreed with the customer'];It helps direct the incident to the correct support area;problem/incident/emergency
109;What does the 'service request management' practice depend on for maximum efficiency?;['Self-service tools', 'Compliments and complaints', 'Processes and procedures', 'Incident management'];Processes and procedures;management
110;Identify the missing words in the following sentence.<br>The purpose of the [?] is to ensure that the organization continually co-creates value with all stakeholders in line with the organization's objectives.;"[""'focus on value' guiding principle"", 'service value system', ""'service request management' practice"", 'four dimensions of service management']";service value system;value chain
111;Which joint activity performed by a service provider and service consumer ensures continual value co-creation?;['Service offering', 'Service provision', 'Service relationship management', 'Service consumption'];Service relationship management;management
112;Which dimension of service management considers governance, management, and communication?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Organizations and people;management
113;How do all value chain activities transform inputs to outputs?;['By using a combination of practices', 'By using a single functional team', 'By determining service demand', 'By implementing process automation'];By using a combination of practices;value chain
114;Why should incidents be prioritized?;['To help automated matching of incidents to problems or known errors', 'To identify which support team the incident should be escalated to', 'To ensure that incidents with the highest business impact are resolved first', 'To encourage a high level of collaboration within and between teams'];To ensure that incidents with the highest business impact are resolved first;problem/incident/emergency
115;Which is the BEST example of an emergency change?;['The implementation of a planned new release of a software application', 'A low-risk computer upgrade implemented as a service request', 'The implementation of a security patch to a critical software application', 'A scheduled major hardware and software implementation'];The implementation of a security patch to a critical software application;problem/incident/emergency
116;Which guiding principle emphasizes the need to understand the flow of work in progress, identify bottlenecks, and uncover waste?;['Focus on value', 'Collaborate and promote visibility', 'Think and work holistically', 'Keep it simple and practical'];Collaborate and promote visibility;guiding principle
117;What is the effect of increased automation on the 'service desk' practice?;['Increased ability to focus on fixing technology instead of supporting people', 'Greater ability to focus on customer experience when personal contact is needed', 'Elimination of the need to escalate incidents to support teams', 'Decrease in self-service incident logging and resolution'];Greater ability to focus on customer experience when personal contact is needed;service desk
118;Which guiding principle recommends assessing the current state and deciding what can be reused?;['Focus on value', 'Start where you are', 'Collaborate and promote visibility', 'Progress iteratively with feedback'];Start where you are;guiding principle
119;What considerations influence the supplier strategy of an organization?;['Contracts and agreements', 'Type of cooperation with suppliers', 'Corporate culture of the organization', 'Level of formality'];Corporate culture of the organization;service
120;Which term describes the functionality offered by a service?;['cost', 'Utility', 'Warranty', 'Risk'];Utility;service
121;Which statement about the 'service desk' practice is CORRECT?;['It provides a link with stakeholders at strategic and tactical levels', 'It carries out change assessment and authorization', 'It investigates the cause of incidents', 'It needs a practical understanding of the business processes'];It needs a practical understanding of the business processes;service desk
122;Which guiding principle describes the importance of doing something, instead of spending a long time analysing different options?;['Optimize and automate', 'Start where you are', 'Focus on value', 'Progress iteratively with feedback'];Progress iteratively with feedback;guiding principle
123;Which practice may involve the initiation of disaster recovery?;['Incident management', 'Service request management', 'Service level management', 'IT asset management'];Incident management;problem/incident/emergency
124;A customer is a person who defines the requirements for a service and takes responsibility for the [?] of service consumption.;['outputs', 'outcomes', 'costs', 'risks'];outcomes;service
125;Which practice provides support for managing feedback, compliments and complaints from users?;['Change control', 'Service request management', 'Problem management', 'Incident management'];Service request management;service desk
126;Which statement about known errors and problems is CORRECT?;['Known error is the status assigned to a problem after it has been analysed', 'A known error is the cause of one or more problems', 'Known errors cause vulnerabilities, problems cause incidents', 'Known errors are managed by technical staff, problems are managed by service management staff'];Known error is the status assigned to a problem after it has been analysed;problem/incident/emergency
127;How does customer engagement contribute to the 'service level management' practice?<br>1. It captures information that metrics can be based on<br>2. It ensures the organization meets defined service levels<br>3. It defines the workflows for service requests<br>4. It supports progress discussions;['1 and 4', '3 and 4', '2 and 3', '1 and 2'];1 and 4;management
128;Which practice ensures that accurate and reliable information is available about configuration items and the relationships between them?;['Service configuration management', 'Service desk', 'IT asset management', 'Monitoring and event management'];Service configuration management;management
129;Which statement about change authorization is CORRECT?;['A change authority should be assigned to each type of change and change model', 'Centralizing change authorization to a single person is the most effective means of authorization', 'The authorization of normal changes should be expedited to ensure they can be implemented quickly', 'Standard changes are high risk and should be authorized by the highest level of change authority'];A change authority should be assigned to each type of change and change model;chenge
130;Why should service desk staff detect recurring issues?;['To help identify problems', 'To escalate incidents to the correct support team', 'To ensure effective handling of service requests', 'To engage the correct change authority'];To help identify problems;problem/incident/emergency
131;Which practice provides visibility of the organization's services by capturing and reporting on service performance?;['Service desk', 'Service level management', 'Service request management', 'Service configuration management'];Service level management;management
132;Which practice has a purpose that includes helping the organization to maximize value, control costs and manage risks?;['Relationship management', 'IT asset management', 'Release management', 'Service desk'];IT asset management;management
133;What is the reason for using a balanced bundle of service metrics?;['It reduces the number of metrics that need to be collected', 'It reports each service element separately', 'It provides an outcome-based view of services', 'It facilitates the automatic collection of metrics'];It provides an outcome-based view of services;service
134;Which guiding principle is PRIMARILY concerned with consumer's revenue and growth?;['Keep it simple and practical', 'Optimize and automate', 'Progress iteratively with feedback', 'Focus on value'];Focus on value;guiding principle
135;Which value chain activity communicates the current status of all four dimensions of service management?;['Improve', 'Engage', 'Obtain/build', 'Plan'];Plan;value chain
136;How should an organization include third-party suppliers in the continual improvement of services?;['Ensure suppliers include details of their approach to service improvement in contracts', 'Require evidence that the supplier uses agile development methods', 'Require evidence that the supplier implements all improvements using project management practices', 'Ensure that all supplier problem management activities result in improvements'];Ensure suppliers include details of their approach to service improvement in contracts;guiding principle
137;What is a problem?;['An addition or modification that could have an effect on services', 'Any change of state that has significance for the management of a configuration item', 'A cause or potential cause of one or more incidents', 'An unplanned reduction in the quality of a service'];A cause or potential cause of one or more incidents;problem/incident/emergency
138;Which practice identifies metrics that reflect the customer's experience of a service?;['Continual improvement', 'Service desk', 'Service level management', 'Problem management'];Service level management;management
139;Which guiding principle recommends organizing work into smaller, manageable sections that can be executed and completed in a timely manner?;['Focus on value', 'Start where you are', 'Collaborate and promote visibility', 'Progress iteratively with feedback'];Progress iteratively with feedback;guiding principle
140;What is the purpose of problem management?;['Reduces the likelihood and impact of incidents', 'Ensures services are restored as soon as possible', 'Helps direct the incident to the correct support area', 'Determines how the service provider is perceived'];Reduces the likelihood and impact of incidents;problem/incident/emergency
141;Identify the missing word in the following sentence.<br>The purpose of the 'information security management' practice is to [?] the organization's information.;['protect', 'store', 'audit', 'provide'];protect;management
142;Which ITIL concept describes governance?;['The service value system', 'The service value chain', 'The seven guiding principles', 'The four dimensions of service management'];The service value system;value chain
143;Which guiding principle recommends collecting data before deciding what can be re-used?;['Focus on value', 'Keep it simple and practical', 'Start where you are', 'Progress interactively with feedback'];Start where you are;guiding principle
144;Which service management dimension is focused on activities and how these are coordinated?;['Partners and suppliers', 'Information and technology', 'Value streams and processes', 'Organizations and people'];Value streams and processes;value chain
